from,to,link,year,month
849,1853,1,2008,10
849,1956,1,2008,10
849,1996,1,2008,10
849,2208,1,2008,10
849,2217,1,2008,10
849,2306,1,2008,10
849,2412,1,2008,10
849,2417,1,2008,10
849,2717,1,2008,10
849,3144,1,2008,10
849,3277,1,2008,10
849,4201,1,2008,10
849,4884,1,2008,10
849,5155,1,2008,10
849,5230,1,2008,10
849,6131,1,2008,10
849,7310,1,2008,10
849,7394,1,2008,10
849,7596,1,2008,10
849,7619,1,2008,10
849,9260,1,2008,10
849,9302,1,2008,10
849,9620,1,2008,10
849,10056,1,2008,10
849,10680,1,2008,10
849,11396,1,2008,10
849,11767,1,2008,10
849,12390,1,2008,10
849,13413,1,2008,10
849,17558,1,2008,10
849,18601,1,2008,10
849,19049,1,2008,10
849,19175,1,2008,10
849,25481,1,2008,10
849,31521,1,2008,10
849,51315,1,2008,10
851,8302,1,2008,10
861,13722,1,2008,10
863,4258,1,2008,10
863,13717,1,2008,10
863,13720,1,2008,10
864,8362,1,2008,10
864,13069,1,2008,10
868,13299,1,2008,10
869,949,1,2008,10
872,21426,1,2008,10
877,5820,1,2008,10
877,6000,1,2008,10
877,6004,1,2008,10
877,7336,1,2008,10
877,14381,1,2008,10
877,14383,1,2008,10
877,18983,1,2008,10
877,22596,1,2008,10
877,22602,1,2008,10
881,23559,1,2008,10
887,18076,1,2008,10
889,13446,1,2008,10
889,25008,1,2008,10
889,25611,1,2008,10
891,3305,1,2008,10
892,905,1,2008,10
892,932,1,2008,10
892,943,1,2008,10
892,1155,1,2008,10
896,6427,1,2008,10
896,10200,1,2008,10
896,13648,1,2008,10
896,14322,1,2008,10
896,26245,1,2008,10
898,14475,1,2008,10
903,6004,1,2008,10
903,18757,1,2008,10
904,27520,1,2008,10
907,13720,1,2008,10
910,2720,1,2008,10
912,11412,1,2008,10
914,10042,1,2008,10
914,13306,1,2008,10
914,16768,1,2008,10
914,22848,1,2008,10
914,23533,1,2008,10
914,30196,1,2008,10
915,14494,1,2008,10
918,10048,1,2008,10
918,22848,1,2008,10
918,29332,1,2008,10
920,14560,1,2008,10
922,29063,1,2008,10
922,37890,1,2008,10
923,6788,1,2008,10
925,22071,1,2008,10
926,2166,1,2008,10
927,13890,1,2008,10
927,21469,1,2008,10
927,22252,1,2008,10
927,26535,1,2008,10
927,26570,1,2008,10
927,27288,1,2008,10
927,28891,1,2008,10
927,30836,1,2008,10
927,34465,1,2008,10
927,35476,1,2008,10
927,36727,1,2008,10
927,38060,1,2008,10
927,40822,1,2008,10
927,45692,1,2008,10
927,46084,1,2008,10
927,48931,1,2008,10
927,52201,1,2008,10
929,30879,1,2008,10
930,14490,1,2008,10
930,23818,1,2008,10
932,1155,1,2008,10
932,7301,1,2008,10
933,5978,1,2008,10
934,14561,1,2008,10
935,9606,1,2008,10
936,15996,1,2008,10
936,16018,1,2008,10
936,27143,1,2008,10
936,27148,1,2008,10
937,15942,1,2008,10
937,26560,1,2008,10
937,29359,1,2008,10
939,14775,1,2008,10
939,16777,1,2008,10
939,47082,1,2008,10
939,49238,1,2008,10
941,14494,1,2008,10
941,28891,1,2008,10
942,949,1,2008,10
942,14494,1,2008,10
943,13069,1,2008,10
943,14869,1,2008,10
944,46199,1,2008,10
946,18746,1,2008,10
948,9955,1,2008,10
948,15088,1,2008,10
948,25036,1,2008,10
948,46521,1,2008,10
948,47370,1,2008,10
949,19609,1,2008,10
957,1381,1,2008,10
959,1188,1,2008,10
963,1754,1,2008,10
965,1189,1,2008,10
971,15885,1,2008,10
975,4807,1,2008,10
975,6776,1,2008,10
976,986,1,2008,10
979,6667,1,2008,10
979,8144,1,2008,10
982,988,1,2008,10
985,7461,1,2008,10
985,10995,1,2008,10
986,988,1,2008,10
986,38538,1,2008,10
994,9481,1,2008,10
1003,37030,1,2008,10
1004,3399,1,2008,10
1004,25872,1,2008,10
1004,32086,1,2008,10
1005,17341,1,2008,10
1008,2886,1,2008,10
1008,3222,1,2008,10
1010,1937,1,2008,10
1010,3595,1,2008,10
1010,3641,1,2008,10
1010,3686,1,2008,10
1010,7792,1,2008,10
1010,7835,1,2008,10
1010,7837,1,2008,10
1010,8205,1,2008,10
1010,11942,1,2008,10
1010,18581,1,2008,10
1010,29636,1,2008,10
1010,33310,1,2008,10
1010,35687,1,2008,10
1010,41965,1,2008,10
1010,41966,1,2008,10
1010,49360,1,2008,10
1015,2643,1,2008,10
1019,16751,1,2008,10
1019,16755,1,2008,10
1021,2492,1,2008,10
1021,10397,1,2008,10
1022,12336,1,2008,10
1025,35899,1,2008,10
1028,1361,1,2008,10
1028,2737,1,2008,10
1028,41543,1,2008,10
1029,6375,1,2008,10
1029,28528,1,2008,10
1029,41701,1,2008,10
1030,7748,1,2008,10
1030,23803,1,2008,10
1030,47592,1,2008,10
1030,53595,1,2008,10
1032,1501,1,2008,10
1032,44109,1,2008,10
1033,4468,1,2008,10
1035,1047,1,2008,10
1038,2814,1,2008,10
1040,1049,1,2008,10
1041,4275,1,2008,10
1042,1729,1,2008,10
1044,1164,1,2008,10
1044,1729,1,2008,10
1044,2785,1,2008,10
1045,3930,1,2008,10
1045,8451,1,2008,10
1045,10718,1,2008,10
1046,16351,1,2008,10
1046,16353,1,2008,10
1046,30539,1,2008,10
1046,36811,1,2008,10
1047,9201,1,2008,10
1047,9260,1,2008,10
1048,19592,1,2008,10
1050,4550,1,2008,10
1053,4653,1,2008,10
1056,8257,1,2008,10
1057,44346,1,2008,10
1060,46671,1,2008,10
1063,1068,1,2008,10
1064,13132,1,2008,10
1064,16269,1,2008,10
1064,17570,1,2008,10
1064,29858,1,2008,10
1065,26227,1,2008,10
1067,3441,1,2008,10
1067,15199,1,2008,10
1067,16218,1,2008,10
1067,30171,1,2008,10
1067,44230,1,2008,10
1067,44254,1,2008,10
1067,57347,1,2008,10
1068,1630,1,2008,10
1068,2851,1,2008,10
1068,2861,1,2008,10
1068,9519,1,2008,10
1068,9521,1,2008,10
1068,15748,1,2008,10
1068,17577,1,2008,10
1068,25106,1,2008,10
1068,31995,1,2008,10
1068,42173,1,2008,10
1079,6425,1,2008,10
1080,1096,1,2008,10
1080,1419,1,2008,10
1082,5377,1,2008,10
1082,5548,1,2008,10
1082,8368,1,2008,10
1082,8479,1,2008,10
1082,8487,1,2008,10
1083,10252,1,2008,10
1084,4074,1,2008,10
1084,11642,1,2008,10
1084,11893,1,2008,10
1085,8479,1,2008,10
1085,8492,1,2008,10
1085,17545,1,2008,10
1087,7391,1,2008,10
1087,15978,1,2008,10
1087,18983,1,2008,10
1087,23907,1,2008,10
1088,4858,1,2008,10
1088,8492,1,2008,10
1090,1096,1,2008,10
1094,1102,1,2008,10
1094,4858,1,2008,10
1094,12359,1,2008,10
1095,1096,1,2008,10
1096,1102,1,2008,10
1096,1107,1,2008,10
1096,1109,1,2008,10
1096,1113,1,2008,10
1096,1464,1,2008,10
1096,1611,1,2008,10
1096,4857,1,2008,10
1096,4858,1,2008,10
1096,4919,1,2008,10
1096,5026,1,2008,10
1096,5735,1,2008,10
1096,8054,1,2008,10
1096,8492,1,2008,10
1096,9026,1,2008,10
1096,11462,1,2008,10
1096,11944,1,2008,10
1096,13760,1,2008,10
1096,14452,1,2008,10
1096,14455,1,2008,10
1096,14458,1,2008,10
1096,17288,1,2008,10
1096,20014,1,2008,10
1096,20938,1,2008,10
1096,20939,1,2008,10
1096,23906,1,2008,10
1096,23911,1,2008,10
1096,25984,1,2008,10
1096,43517,1,2008,10
1097,1252,1,2008,10
1097,1567,1,2008,10
1097,5753,1,2008,10
1097,5968,1,2008,10
1097,6397,1,2008,10
1097,7782,1,2008,10
1097,12325,1,2008,10
1097,20093,1,2008,10
1097,23412,1,2008,10
1097,23913,1,2008,10
1097,24946,1,2008,10
1097,26037,1,2008,10
1097,26430,1,2008,10
1097,34517,1,2008,10
1097,47177,1,2008,10
1097,58476,1,2008,10
1100,20999,1,2008,10
1101,53609,1,2008,10
1102,2626,1,2008,10
1102,17901,1,2008,10
1102,26203,1,2008,10
1102,42718,1,2008,10
1102,53071,1,2008,10
1103,7648,1,2008,10
1103,19175,1,2008,10
1103,24974,1,2008,10
1105,2763,1,2008,10
1105,8485,1,2008,10
1105,9341,1,2008,10
1105,16266,1,2008,10
1106,8410,1,2008,10
1106,11538,1,2008,10
1106,13021,1,2008,10
1107,1419,1,2008,10
1107,5387,1,2008,10
1107,5937,1,2008,10
1107,5963,1,2008,10
1107,12353,1,2008,10
1107,19231,1,2008,10
1109,1113,1,2008,10
1109,4858,1,2008,10
1110,16578,1,2008,10
1110,30941,1,2008,10
1111,48744,1,2008,10
1111,50805,1,2008,10
1112,7582,1,2008,10
1112,38072,1,2008,10
1113,4856,1,2008,10
1113,10548,1,2008,10
1115,8492,1,2008,10
1123,3034,1,2008,10
